Entity,Code,Day,75+_start,75-79_start,60-64_start,0-17_start,80+_start,65-69_start,70-74_start,18-24_start,65-74_start,45-54_start,50-54_start,55-59_start,50-59_start,35-44_start,18-29_start,70-79_start,25-49_start,25-34_start,60-69_start,30-39_start,40-49_start,55-64_start,12-17_start,10-19_start,20-29_start,0-9_start,12-15_start,16-19_start,5-11_start,80-89_start,90-99_start,15-17_start,0-4_start,5-9_start,10-14_start
Austria,AUT,2021-01-08,,,,,1.24,,,0.13,,,,,0.54,,,0.27,0.39,,0.33,,,,,,,,,,,,,0.01,0,0,
Austria,AUT,2021-01-15,,,,,6.09,,,0.45,,,,,1.82,,,1.3,1.19,,1.31,,,,,,,,,,,,,0.04,0,0,0
Austria,AUT,2021-01-22,,,,,11.78,,,0.87,,,,,3.16,,,2.16,2.18,,2.13,,,,,,,,,,,,,0.05,0,0,0
Austria,AUT,2021-01-29,,,,,14.16,,,1.04,,,,,3.56,,,2.38,2.48,,2.39,,,,,,,,,,,,,0.05,0,0,0
Austria,AUT,2021-02-05,,,,,14.96,,,1.16,,,,,3.87,,,2.53,2.7,,2.58,,,,,,,,,,,,,0.06,0,0,0
Austria,AUT,2021-02-12,,,,,15.89,,,1.53,,,,,4.33,,,2.75,3.06,,2.86,,,,,,,,,,,,,0.07,0,0,0
Austria,AUT,2021-02-19,,,,,20.21,,,2.02,,,,,5.17,,,3.08,3.73,,3.37,,,,,,,,,,,,,0.08,0,0,0
Austria,AUT,2021-02-26,,,,,27.85,,,2.97,,,,,6.47,,,3.57,4.83,,4.24,,,,,,,,,,,,,0.1,0,0,0
Austria,AUT,2021-03-05,,,,,43.93,,,3.76,,,,,7.95,,,4.63,5.91,,5.37,,,,,,,,,,,,,0.12,0,0,0
Austria,AUT,2021-03-12,,,,,57.57,,,5.16,,,,,10.46,,,8.22,7.96,,8.18,,,,,,,,,,,,,0.39,0,0,0
Austria,AUT,2021-03-19,,,,,66.93,,,5.87,,,,,12.45,,,13.9,9.31,,11.06,,,,,,,,,,,,,0.46,0,0,0.01
Austria,AUT,2021-03-26,,,,,71.98,,,6.52,,,,,14.29,,,19.11,10.54,,13.47,,,,,,,,,,,,,0.51,0,0,0.01
Austria,AUT,2021-04-02,,,,,78.51,,,6.89,,,,,15.31,,,27.07,11.12,,15.13,,,,,,,,,,,,,0.54,0,0,0.01
Austria,AUT,2021-04-09,,,,,84.28,,,7.23,,,,,16.44,,,40.61,11.71,,19.9,,,,,,,,,,,,,0.58,0,0,0.01
Austria,AUT,2021-04-16,,,,,88.35,,,7.73,,,,,18.65,,,54.73,12.82,,27.9,,,,,,,,,,,,,0.66,0,0,0.01
Austria,AUT,2021-04-23,,,,,90.32,,,8.62,,,,,22.43,,,64,14.59,,37.71,,,,,,,,,,,,,0.84,0.01,0,0.01
Austria,AUT,2021-04-30,,,,,91.59,,,9.85,,,,,27.24,,,68.21,16.51,,49.23,,,,,,,,,,,,,1.02,0.01,0.01,0.01
Austria,AUT,2021-05-07,,,,,93.09,,,11.83,,,,,34.38,,,71.78,19.74,,58,,,,,,,,,,,,,1.35,0.01,0.01,0.01
Austria,AUT,2021-05-14,,,,,94.09,,,14.17,,,,,42.34,,,73.77,23.27,,64.47,,,,,,,,,,,,,1.79,0.01,0.01,0.02
Austria,AUT,2021-05-21,,,,,95.2,,,17.01,,,,,49.49,,,75.77,28.34,,71.09,,,,,,,,,,,,,2.69,0.01,0.01,0.03
Austria,AUT,2021-05-28,,,,,95.85,,,19.83,,,,,53.95,,,76.81,32.61,,74.28,,,,,,,,,,,,,3.51,0.01,0.01,0.04
Austria,AUT,2021-06-04,,,,,96.5,,,24.22,,,,,59.09,,,77.76,38.15,,76.77,,,,,,,,,,,,,5.29,0.01,0.01,0.24
Austria,AUT,2021-06-11,,,,,97.04,,,29.62,,,,,63.92,,,78.5,43.35,,78.27,,,,,,,,,,,,,8.45,0.02,0.01,0.68
Austria,AUT,2021-06-18,,,,,97.61,,,34.4,,,,,66.81,,,79.24,48.01,,79.65,,,,,,,,,,,,,13.16,0.02,0.02,1.87
Austria,AUT,2021-06-25,,,,,98.05,,,38.82,,,,,68.34,,,79.79,52,,80.59,,,,,,,,,,,,,18.92,0.02,0.02,3.74
Austria,AUT,2021-07-02,,,,,98.5,,,43.6,,,,,69.82,,,80.37,55.38,,81.53,,,,,,,,,,,,,25.69,0.02,0.02,5.99
Austria,AUT,2021-07-09,,,,,98.88,,,48.53,,,,,70.95,,,80.85,57.72,,82.34,,,,,,,,,,,,,29.76,0.03,0.02,7.24
Austria,AUT,2021-07-16,,,,,99.24,,,50.96,,,,,71.93,,,81.31,59.18,,83.08,,,,,,,,,,,,,34.94,0.03,0.02,9.37
Austria,AUT,2021-07-23,,,,,99.61,,,53.02,,,,,72.81,,,81.75,60.51,,83.75,,,,,,,,,,,,,37.73,0.03,0.02,10.5
Austria,AUT,2021-07-30,,,,,99.88,,,54.22,,,,,73.33,,,82.04,61.28,,84.18,,,,,,,,,,,,,39.81,0.03,0.02,11.37
